ID,Feature Name,Category,Description,Target Audience,Effort,Value,Notes
1,Interactive Moody Chart,Engineer Tool,"Clickable Moody diagram — enter Re and ε/D and see your exact point plotted. Friction factor read off automatically. Includes flow regime shading.",Engineers,Medium,High,Most-used reference in pipeline work. Clean web versions barely exist.
2,Pipe Run Designer,Engineer Tool,"Build a pipe run with straight sections and fittings (elbows, tees, valves, reducers) one by one. Outputs total pressure drop, velocity, head loss, and flow regime.",Engineers,Medium,High,Replaces the bespoke Excel sheet every engineer builds. High daily-use potential.
3,Pump System Curve Builder,Engineer Tool,"Enter pipe system parameters to generate the system curve (H vs Q). Overlay a manually-entered pump curve to find the operating point graphically.",Engineers,High,High,HVAC and process engineers do this for every pump selection. Nothing clean exists for free.
4,Fluid Properties at Any Temperature,Both,"Select a fluid and enter temperature (and pressure for gases). Returns all properties — ρ, μ, ν, k, Cp, Pr — via interpolation. Covers water, air, glycol, common refrigerants.",Both,Low,High,Engineers work at non-standard temperatures constantly. More useful than static tables.
5,Pipe Network Solver,Engineer Tool,"Define a looped or branched pipe network with nodes, pipe segments, and demands. Solve for flow distribution and pressure at each node using Hardy-Cross iteration.",Engineers,High,High,Civil and water supply engineers need quick network checks. EPANET is overkill for simple cases.
6,Control Valve Cv and Orifice Sizing,Engineer Tool,"Given fluid, flow rate, and allowable pressure drop: compute required Cv for a control valve or size an orifice plate / venturi meter.",Engineers,Low,High,Process instrumentation engineers run these calculations constantly. Simple but underserved.
7,Water Hammer and Surge Pressure,Engineer Tool,"Given valve closure time and pipe parameters, compute pressure surge (Joukowski), wave speed, and critical closure time. Flags dangerous conditions.",Engineers,Low,Medium,Relevant for pipeline, water utility, and valve schedule design. Rarely found as a free clean tool.
8,Hydraulic Cylinder and Power Calculator,Engineer Tool,"Calculate force, speed, and flow requirements for hydraulic cylinders. Pump displacement, line velocity, and pressure for hydraulic circuits.",Engineers,Low,Medium,Used by machine designers and heavy equipment engineers. Simple physics but very underserved.
9,Heat Exchanger Quick-Sizer,Engineer Tool,"Given two fluid streams (inlet/outlet temps, flow rates), calculate duty, LMTD, and estimate required area for a given overall U-value. Shell-and-tube and plate options.",Engineers,Medium,Medium,Chemical and process engineers use this as a first-pass before detailed design software.
10,Vortex Shedding and Pipe Vibration Check,Engineer Tool,"Given flow velocity and pipe/tube geometry, compute Strouhal vortex shedding frequency and compare to pipe natural frequency. Flags resonance risk.",Engineers,Low,Medium,Used when checking pipe spans and heat exchanger tube bundles. Very hard to find elsewhere.
11,NPSH and Cavitation Risk Calculator,Engineer Tool,"Calculate NPSH available for a pump installation (suction head, vapour pressure, friction losses) and compare to NPSH required. Flags cavitation risk.",Engineers,Low,High,Every pump application engineer needs this. Cavitation is one of the most common pump failures.
12,Pipe Schedule and Standard Sizes Reference,Engineer Tool,"Searchable table of ASME/ANSI pipe schedules — nominal size, OD, wall thickness, ID, and cross-sectional area for carbon steel, stainless, PVC, copper.",Engineers,Low,High,Engineers look this up constantly. A clean searchable version with unit conversion built in is genuinely useful.
13,Open Channel Design Tool,Engineer Tool,"Manning's equation solver for rectangular, trapezoidal, and circular channel sections. Includes normal depth, critical depth, and hydraulic jump calculator.",Engineers,Medium,Medium,Civil and hydraulic engineers — channel lining, culvert design, drainage systems.
14,Pump Affinity Laws Calculator,Engineer Tool,"Given a pump's performance at one speed or impeller diameter, predict its H-Q and efficiency curve at a new speed or trimmed impeller.",Engineers,Low,High,Very common for energy optimisation. Engineers do this when retrofitting VFDs or trimming impellers.
15,Compressible Flow Tables,Both,"Isentropic flow relations, normal shock relations, Rayleigh and Fanno line tables — interactive. Enter any one parameter and get the full state.",Both,Low,Medium,Aerospace and gas dynamics engineers plus students studying compressible flow. Currently only static tables exist.
16,Particle Settling and Stokes Law,Engineer Tool,"Compute settling velocity and regime (Stokes, transition, Newton) for a particle in a fluid. Useful for sedimentation basin design, filtration, and centrifuge sizing.",Engineers,Low,Medium,Environmental and chemical process engineers. Covers both single particle and hindered settling.
17,Drag Force Calculator,Both,"Drag force on spheres, cylinders, flat plates, and streamlined bodies. Handles Re-dependent Cd, includes wind loading estimates and terminal velocity.",Both,Low,Medium,Aerospace, civil wind loading, and automotive engineers. Useful for students studying external flow.
18,Flow Through Porous Media,Engineer Tool,"Darcy's law for flow through packed beds and porous media. Ergun equation for wider Re range. Computes pressure drop, permeability, and minimum fluidisation velocity.",Engineers,Low,Medium,Environmental (groundwater), chemical (packed beds, filters), and pharmaceutical engineers.
19,Pressure Relief Valve Sizing,Engineer Tool,"API 520/521-based sizing for safety relief valves — gas, liquid, and two-phase service. Calculates required orifice area and suggests standard API orifice designation.",Engineers,Medium,High,Mandatory calculation for pressure vessel and process plant design. No clean free tool exists.
20,Two-Phase Flow Pressure Drop,Engineer Tool,"Pressure drop for gas-liquid flow in pipes using Lockhart-Martinelli and Friedel correlations. Includes flow regime map (slug, annular, bubbly).",Engineers,High,Medium,Oil and gas, chemical process, refrigeration engineers. Complex but very common in industry.
21,Natural Gas Pipeline Sizing,Engineer Tool,"Weymouth, Panhandle A and B equations for compressible gas pipeline hydraulics. Sizing for a given flow rate and allowable pressure drop.",Engineers,Medium,Medium,Upstream and midstream oil and gas engineers. Specialist but very hard to find as a free tool.
22,Pipe Insulation Heat Loss Calculator,Engineer Tool,"Heat loss per metre from bare and insulated pipes (cylindrical resistance model). Covers single and multi-layer insulation, condensation risk check.",Engineers,Low,Medium,Process, HVAC, and district heating engineers. Quick check before detailed insulation specification.
23,Fan and Blower System Curve,Engineer Tool,"Air/gas system resistance curve (duct friction, fitting losses, static pressure). Overlay fan curve to find duty point. Includes density correction for altitude and temperature.",Engineers,Medium,High,HVAC, ventilation, and combustion air engineers. Fan selection equivalent of the pump system curve builder.
24,Hydraulic Jump Calculator,Both,"Given upstream Froude number and channel geometry, compute sequent depth, energy loss, and jump length. Includes stilling basin classification.",Both,Low,Low,Civil/hydraulic engineers and students. Relatively niche but clean interactive version would stand out.
25,Submerged Surface Hydrostatic Force,Both,"Force and centre of pressure on flat and curved submerged surfaces — vertical, horizontal, and inclined. Includes free-body diagram output.",Both,Low,Medium,Structural and civil engineers designing retaining walls, dams, tanks, and sluice gates.
26,Psychrometric Calculator,Engineer Tool,"Given any two psychrometric properties (dry bulb, wet bulb, relative humidity, dew point, enthalpy), compute the full moist air state. Includes humidification/cooling coil loads.",Engineers,Medium,Medium,HVAC and building services engineers. Interactive psych chart is visually compelling and widely used.
27,Verified Problem Bank,Students,"A curated set of manually verified textbook-quality problems per topic — not AI-generated. Clearly labelled as checked. Mixed into the practice page.",Students,High,High,Directly addresses the trust/credibility gap in the AI practice problems. The most important student feature missing.
28,Concept Flashcards and Multiple Choice Quiz,Students,"Quick conceptual questions per topic — what does Re represent, when does Bernoulli apply, etc. Complements calculation practice with conceptual understanding.",Students,Medium,Medium,Fills the gap between formula memorisation and problem solving. Useful for exam preparation.
29,Problem Sets by Topic,Students,"Structured sets of 5–10 problems per topic (like a homework sheet) with progress tracking. Harder problems unlock as easier ones are completed.",Students,Medium,Medium,Turns the practice page into a curriculum rather than a random generator. Encourages return visits.
30,Formula Derivation Viewer,Students,"Step-by-step derivation of key equations — Darcy-Weisbach, Bernoulli, Navier-Stokes simplifications. Shows where equations come from, not just what they are.",Students,Medium,Low,Deep learning tool. Differentiates from every other formula reference that just shows the result.
31,Calculator Share via URL,Both,"Encode calculator inputs into a shareable URL. Colleagues or students can open a link and see the exact same inputs and results.",Both,Low,Medium,Engineers share calculation checks. Students share worked examples. Low effort, high collaboration value.
32,Offline Mode / PWA,Both,"Package the app as a Progressive Web App. Key calculators and tables work without internet connection — useful in plant rooms, remote sites, and exam halls.",Both,Medium,Medium,Engineers often work in areas with poor connectivity. Exam mode requires no internet.
33,Saved Calculation History,Both,"Persistent log of previous calculator runs with inputs, outputs, and timestamp. Searchable. Exportable to PDF.",Both,Low,Medium,Engineers review past calculations during audits and design reviews. Students track their learning.
34,Pipe Material and Roughness Database,Engineer Tool,"Searchable reference for absolute roughness values of commercial pipes by material and condition — new, used, corroded, tuberculated. Links directly into friction calculators.",Engineers,Low,Medium,ε is the most commonly estimated parameter in pipe flow. A reliable reference removes guesswork.
35,API / Embeddable Calculators,Engineers,"REST API endpoints for core calculators. Embeddable calculator widgets for engineering team intranets or university course pages.",Engineers,High,Medium,Opens a B2B revenue opportunity. Engineering firms and universities would pay for white-label access.
36,Cost Estimation with Supplier Links,Engineer Tool,"After computing pipe/pump/equipment sizes output an indicative material cost from a curated supplier price database. Show unit prices with clickable supplier store links. Aggregates into a bill of materials for a full pipe run or system. Useful for engineer cost checks and student design-project BOMs.",Both,High,High,"Monetisation via affiliate click-through (RS Components / Grainger / McMaster-Carr). Start with static indicative prices + dated disclaimer — pursue live API partnerships once traffic exists. Bridges the gap between 'what size' and 'what cost' that no free tool covers."
37,Aerofoil Performance — NACA Surrogate,Both,"Interactive Cl/Cd vs angle-of-attack curves for NACA 4-digit aerofoil sections. Pre-computed from public NACA/XFOIL data — no live CFD required. Shows stall angle, max L/D point, and Reynolds-number sensitivity. Acts as a surrogate model for quick aero design checks.",Both,Medium,Medium,"Domain expansion beyond pipe/pump — best scoped as a standalone External Flow module. Useful for aerospace students and wind-turbine engineers. True ML surrogate (trained on higher-fidelity CFD sweep) is a natural Phase 2 extension once the lookup-table version is live."
38,Tank Volume Calculator,Engineer Tool,"BUILT — Live at /calculators/tank-volume. Vertical cylindrical (flat/cone/hemi/ellipsoidal heads), horizontal cylindrical, and rectangular tanks. Strapping table at configurable step (1/5/10%), volume at any liquid level, fill time with unit selector, contents mass, surface area, multi-unit output (m3/L/US gal/UK gal/bbl). CSV export. Bug-fixed ellipsoidal head volume.",Engineers,Low,High,"Completed Q2 2025. Very high daily use across all process disciplines. No other free tool covers all three tank types with full head geometry and strapping table in this level of detail."
39,Flange Rating — ASME B16.5 / B16.47,Engineer Tool,"Given pipe material group and operating pressure + temperature, returns the required pressure class (150# 300# 600# 900# 1500# 2500#). Interpolates between tabulated P-T ratings. Covers carbon steel, stainless, alloy groups.",Engineers,Low,High,"Standalone calculator under /calculators/. Engineers currently carry dog-eared ASME tables or open PDFs every time they need this. A searchable interpolating version is a genuine daily-use tool. Low build effort — primarily a structured data table with interpolation logic."
40,Orifice Plate Sizing — ISO 5167,Engineer Tool,"Iterative ISO 5167-2 calculation: given fluid, pipe ID, flow rate and allowable differential pressure, solves for required beta ratio (d/D) and bore diameter using Reader-Harris/Gallagher discharge coefficient. Covers liquids and gases. Outputs bore, DP at design flow, and rangeability note.",Engineers,Medium,High,"Standalone calculator under /calculators/. Distinct from existing orifice-flow calculator which solves Q from a known orifice. This solves the reverse — what size orifice do I need — which is what instrumentation engineers actually do. ISO 5167 is the universal standard for differential pressure flow measurement."
41,Compressor Power — Polytropic and Adiabatic,Engineer Tool,"Given suction conditions (pressure, temperature, gas MW/k-value, Z-factor), compression ratio, and isentropic efficiency: computes polytropic head, adiabatic head, shaft power, discharge temperature, and volumetric flow at suction and discharge.",Engineers,Medium,Medium,"Standalone calculator under /calculators/. Completes the rotating machinery set — pumps and fans are covered but gas compression is absent. Used in refineries, gas gathering, chemical plants. Well-defined physics with no free clean tool."
42,Pump Parallel and Series Operation,Engineer Tool,"Given two pump H-Q curves (identical or different), computes the combined H-Q curve for parallel operation and series operation. Overlays the system curve to find the new operating point. Shows individual pump operating points and whether each is within its allowable operating range.",Engineers,Low,High,"Standalone calculator under /calculators/. Extends existing pump system curve work. Every engineer adding capacity to an existing pumped system needs this. Common question: if I add a second pump in parallel, where will we actually operate? Low build effort — builds directly on existing pump curve logic."
43,Pipe Thermal Expansion and Loop Sizing,Engineer Tool,"Computes linear thermal expansion of pipe runs between anchor points for common pipe materials (CS, SS, copper, HDPE). Sizes U-loop and L-loop expansion offsets to absorb growth within code-allowable stress. Outputs guided-span requirement and anchor reaction force estimate.",Engineers,Medium,Medium,"Standalone calculator under /calculators/. Any pipe system above ambient temperature (steam, hot oil, process lines, district heating) needs this check. Currently done in engineering handbooks or specialist software. A clean free version covering common cases would serve a wide audience."
44,Slurry Pipeline Calculator — Durand and Wilson,Engineer Tool,"Critical deposition velocity (Durand correlation), friction loss for heterogeneous slurry flow, and pump de-rating factor (head ratio HR and efficiency ratio ER) using Wilson-GIW method. Inputs: particle d50 and d85, solids SG, pipe ID, concentration by weight and volume.",Engineers,High,High,"Standalone calculator under /calculators/. Highly SA-specific — mining is one of the largest engineering sectors in South Africa and slurry pumping is ubiquitous. No clean free tool covers this. Significant competitive advantage in the SA market. Also relevant in mineral processing globally."
45,Pipe Wall Thickness Design Tool — ASME B31.3 and B31.1,Design Tool,"BUILT — Live at /design/pipe-wall. Inputs: design pressure/temperature, pipe OD or DN (Schedule 40 picker), material (9 ASME materials), weld joint efficiency, corrosion allowance, mill tolerance. Outputs: minimum required wall, selected standard schedule, MAWP, hydrostatic test pressure, OD, D/t ratio, UG-16 minimum check, pipe weight (kg/m), indicative ZAR cost. PDF + CSV export. Copy-to-clipboard spec.",Engineers,Medium,High,"Completed Q2 2025. Regulatory requirement for every pressure piping project. No clean free browser tool existed before this. Covers B31.3 (process) and B31.1 (power) piping with 9 ASME material groups and tabulated allowable stresses."
46,Slurry Pipeline Design Wizard,Design Tool,"Full design workflow under /design/ for slurry transport systems. Same sidebar + live results structure as the Pipe System Wizard but with slurry-specific physics: fluid properties → slurry properties → critical velocity check → friction head → pump de-rating → system head → cost estimate. Printable slurry system design summary output.",Engineers,High,High,"SA-specific design tool. Mining and mineral processing engineers in SA regularly design slurry systems using bespoke Excel sheets or expensive specialist software. A clean free tool covering Durand/Wilson methodology in the same wizard format as the existing Pipe System Wizard would be a major differentiator for the SA market."
47,Gas Pipeline Design Wizard — Weymouth and Panhandle,Design Tool,"Full design workflow under /design/ for gas transmission and distribution pipelines. Inputs: gas composition, inlet pressure, flow rate, pipe OD, length, elevation. Solves Weymouth or Panhandle A/B for outlet pressure or required pipe size. Outputs compression requirement, line pack volume, and printable gas pipeline design summary.",Engineers,High,Medium,"Extends roadmap item 21 (Natural Gas Pipeline Sizing standalone calculator) to a full design tool. SA has growing gas distribution infrastructure and gas-to-power projects. Build the standalone calculator first then promote to this wizard once the physics is validated. Weymouth/Panhandle are industry-standard equations with no clean free design tool."
48,Control Valve Sizing — IEC 60534 / ISA-75,Design Tool,"BUILT — Live at /design/control-valve. IEC 60534-2-1 Kv/Cv sizing for liquid (cavitation + choked flow), gas (expansion factor + choking), and steam service. Body material recommendation, pressure class (ASME B16.34), leakage class (ANSI/FCI 70-2), actuator type selector, indicative ZAR cost estimate. Noise flag for high-DP gas.",Engineers,Medium,High,"Completed Q2 2025. Three-mode tool covering all common process valve services. Serves instrumentation and process engineers on every plant project. ANSI pressure class, body material, and trim recommendations included."
49,Stormwater Drainage Design — SA Rational Method,Design Tool,"BUILT — Live at /design/stormwater. Rational Method (Q=CiA/360) with embedded SANRAL IDF data for 8 SA cities (Johannesburg, Cape Town, Durban, Gqeberha, Bloemfontein, East London, Pietermaritzburg, Nelspruit). Return periods 2–100 yr. Kirpich tc formula. Manning pipe sizing against SANS 677 concrete pipe sizes. Weighted C for mixed catchments. ZAR pipe cost estimate. PDF export.",Engineers,Medium,High,"Completed Q2 2025. SA-specific tool — no other free tool embeds local IDF data. High daily use by civil and municipal engineers. Covers the most commonly used drainage design method in South Africa."
50,Pressure Vessel Design — ASME VIII Division 1,Design Tool,"BUILT — Live at /design/pressure-vessel. ASME VIII Div.1 shell (UG-27) + head (UG-32: 2:1 ellipsoidal, hemispherical, ASME F&D, flat with C-factor selector) + MAWP + hydrostatic test (UG-99). 6 ASME materials (SA-516 Gr60/70, SA-240 TP304/316L, SA-387 Gr11/22). OD, D/t thin-wall check, UG-16 minimum, L/D ratio, tangent-to-tangent length, head depth, vessel volume (corrected formula), bare weight, indicative ZAR cost. PDF + CSV export.",Engineers,Medium,High,"Completed Q2 2025. Required for every pressure vessel in process plants. PVElite and DesignCalcs are expensive licensed tools. This covers the most common Div.1 design cases with code-referenced formulas and material data."
51,Steam System Design,Design Tool,"Guided design workflow for steam distribution and condensate return systems. Inputs: boiler conditions (P, T), steam flow per branch, pipe lengths. Outputs: pipe sizing per segment (steam velocity limit), pressure drop, steam trap type and size by application, condensate receiver sizing, flash steam vessel sizing, make-up water requirement. Covers saturated and superheated steam.",Engineers,Medium,High,"Steam is used in food and beverage, chemical, pharmaceutical, brewing, hospitals, district heating, and power generation — enormous range of industries. Spirax Sarco has a good tool but it is locked behind registration and steers users to their products. An independent neutral tool would serve engineers who want to size without brand bias."
52,Heat Exchanger Detailed Design — TEMA,Design Tool,"Full shell-and-tube heat exchanger design tool beyond the existing quick-sizer. Given two fluid streams, produces: shell diameter, tube count and pitch, baffle spacing and cut, shell-side and tube-side pressure drops, required tube length, number of passes, TEMA designation (AEU, BEM, etc.), and equipment datasheet in TEMA format. Uses Bell-Delaware method for shell-side heat transfer and pressure drop.",Engineers,High,High,"The existing heat-exchanger-sizer gives area from a U value. This tool dimensions the actual shell and tube layout — a completely different output. Chemical, process, and oil & gas engineers use this for every heat integration step. The Bell-Delaware shell-side method is the industry standard but is not available in any free tool."
53,Cooling Tower Performance and Selection,Design Tool,"Given heat duty, hot and cold water temperatures, and wet-bulb temperature: compute required L/G ratio, tower characteristic (KaV/L), approach temperature, range, effectiveness, evaporation loss, drift loss, blowdown, and make-up water. Size the tower basin and fan power. Compare mechanical draft vs natural draft options.",Engineers,Medium,Medium,"Used in HVAC (building cooling), industrial process cooling (refineries, data centres, power plants), and mining. Water consumption and make-up are critical in SA given water scarcity. No clean free tool covers the full NTU-based cooling tower calculation."
54,Water Treatment Process Design — Coagulation to Chlorination,Design Tool,"Process design tool for conventional water treatment: rapid mix (flash mixing), coagulation/flocculation (tank sizing, G-value, Gt product), sedimentation (surface overflow rate, Hazen number), filtration (filter area, backwash rate), and disinfection (CT value, chlorine dose, contact time). SA-specific: covers SANS 241 drinking water standards and typical SA raw water quality.",Engineers,High,High,"Highly SA-relevant — ageing municipal water treatment infrastructure, new township development, and mine water treatment. SANS 241 compliance is mandatory. Covers the process engineer's role in treatment plant design. No free tool covers the full treatment train. Water scarcity makes this a priority topic in SA."
55,3-Phase Separator Sizing — API 12J,Design Tool,"Given gas and liquid flow rates (oil, gas, water), separator orientation (horizontal or vertical), operating pressure and temperature, droplet size specification: computes vessel diameter, length, nozzle sizing, liquid retention time, gas capacity check (K-factor method), mist extractor sizing. Outputs a separator equipment datasheet per API 12J.",Engineers,Medium,Medium,"Used in upstream and midstream oil and gas production. Every wellhead, separator train, and slug catcher needs this check. API 12J is the standard. Relevant for SA's gas-to-power sector and Mozambique LNG-adjacent projects. Moderately specialist but well-defined calculation methodology."
56,Airway Resistance — Atkinson Equation,Mining Tool,"Calculate airway resistance R from tunnel geometry (cross-section, perimeter, length, friction factor k) using Atkinson's equation. Compute pressure loss H = R·Q² for any airflow Q. Reverse solve for required airflow given allowable pressure loss. Covers rectangular, circular, and arched tunnel profiles common in SA mines. Outputs resistance in Ns²/m⁸ (Atkinson units) and Pa·s²/m⁶.",Engineers,Low,High,"Fundamental to every mine ventilation calculation — the airflow equivalent of pipe head loss. Every ventilation engineer runs this daily. Currently done in spreadsheets. SA mines use MHSA (Mine Health and Safety Act) regulatory requirements for minimum velocities. Directly complements the existing pipe head-loss calculator."
57,Mine Fan Selection and Operating Point,Mining Tool,"Given fan pressure-volume (H-Q) curve data and mine airway resistance curve, find the operating point (intersection). Supports series and parallel fan arrangements. Flags if operating point falls outside the fan's stable operating range. Calculates fan power and efficiency at duty. Covers main fans, booster fans, and auxiliary fans for development headings.",Engineers,Medium,High,"Mine ventilation engineers select fans the same way HVAC engineers select pumps — by intersecting system and fan curves. Extends the existing pump and fan system curve functionality to mine-specific conditions. Fans in mines deal with high static pressures (up to 10 kPa for deep mines) and high airflows (up to 1000 m³/s for main fans in large operations)."
58,Diesel Equipment Air Dilution — MHSA Regulation,Mining Tool,"Calculates minimum airflow required to dilute diesel equipment exhaust to regulatory limits per South African Mine Health and Safety Act. Inputs: equipment list (machine type, kW rating, number of machines, duty cycle). Outputs: minimum m³/s per machine and total fleet requirement. References MHSA regulation 5.15.1 (0.06 m³/s per kW installed). Includes simultaneous factor for realistic fleet operation.",Engineers,Low,High,"SA regulatory requirement — every underground mine using diesel equipment must demonstrate sufficient dilution airflow. Currently verified against MHSA regulation by ventilation engineers using spreadsheets. Directly aids MHSA compliance audits. Very specific to SA mining but every underground diesel mine needs this. Low build effort, high compliance value."
59,Auto-Compression and Mine Air Temperature,Mining Tool,"Calculates the adiabatic temperature rise of air descending into a mine due to auto-compression (approximately 1°C per 100m for dry air, 0.5°C per 100m for saturated air). Adds heat load from machinery (kW installed × efficiency factor), virgin rock temperature contribution (geothermal gradient), and human metabolic heat. Outputs: dry-bulb and wet-bulb temperature at any level, heat load breakdown by source, and whether conditions approach MHSA WBGT limits.",Engineers,Medium,High,"Deep SA gold and platinum mines (2–4 km) have severe heat problems — auto-compression alone adds 4°C per km. Heat stress is a major cause of mine incidents. MHSA Section 11.1 sets occupational heat exposure limits. This calculation determines whether refrigeration and cooling systems are needed, which are among the most expensive items in deep mine infrastructure."
60,Compressed Air Network — Underground Distribution,Mining Tool,"Calculates pressure drop in underground compressed air supply networks serving drilling equipment, rock drills, and pneumatic tools. Inputs: compressor delivery pressure, pipe diameter and length, number of simultaneous consumers (demand factor), leakage allowance. Outputs: pressure at face, minimum pipe size for required face pressure, compressor capacity including leakage. References typical SA mine leakage rates (25–40% of supply).",Engineers,Low,Medium,"Compressed air is the primary power source for rock drilling in most SA mines. Delivering air at adequate pressure (500–600 kPa) to the face while accounting for distribution losses and endemic leakage is a routine engineering task. Currently done with simplified tables and spreadsheets. Mine engineering departments would use this for new level development and equipment fleet planning."
61,Mine Psychrometrics and WBGT Heat Stress Assessment,Mining Tool,"Computes mine air state (dry-bulb, wet-bulb, dew point, specific humidity, enthalpy) at underground conditions, including the effect of elevated barometric pressure at depth. Calculates Wet Bulb Globe Temperature (WBGT) index and compares against MHSA occupational exposure limits. Estimates allowable continuous work duration at given conditions. Covers the effect of air cooling units (evaporative and refrigerative) on outlet air state.",Engineers,Medium,High,"WBGT is the primary occupational health metric in SA deep mines. MHSA Section 11.1 sets legal limits: WBGT must not exceed 27.5°C for light work, lower for heavy work. Ventilation engineers must demonstrate compliance. Extends the existing psychrometric calculator with depth-pressure correction and WBGT calculation specific to mining regulatory context."
62,Virgin Rock Temperature and Geothermal Gradient,Mining Tool,"Calculates virgin rock temperature (VRT) at any depth given surface temperature and regional geothermal gradient. SA Witwatersrand goldfields have gradients of 9–15°C per 100m (among the highest in the world). Includes regional presets for Witwatersrand (gold), Bushveld Complex (platinum), and Mpumalanga coalfields. VRT determines heat transfer from rock walls to ventilation air and sets cooling requirements for deep level mining.",Engineers,Low,Medium,"VRT is an input to every deep mine heat load calculation. SA Witwatersrand geothermal gradients are anomalously high due to uranium in the host rock (both radioactive decay and granite intrusion). This makes deep SA gold mines among the hottest underground workplaces in the world. Reference data from Council for Geoscience (CGS) and published SAIMM papers."
63,Mine Dewatering — Multi-Stage Pump Column Design,Mining Tool,"Sizes dewatering pump systems for underground mines. Inputs: inflow rate (L/s), depth, required delivery head, number of pumping stages (shaft column pumps or surface delivery). Selects pump operating point from duty curves, sizes column pipes (velocity 1.5–2.5 m/s limit), calculates motor power per stage and total installed power. Checks NPSH at each stage. SA-specific: covers typical column pipe schedules used in SA mining.",Engineers,Medium,High,"Mine dewatering is a critical infrastructure item — most SA mines dewater millions of litres per day. Multi-stage column pumping to surface is complex: each stage pumps to a dam at an intermediate level, then the next stage lifts further. This is distinct from surface pump sizing. Currently designed using pump vendor curves and bespoke spreadsheets. Complements existing NPSH calculator with a mine-specific workflow."
